Sub_ID,group_name,group,ID_CN,ID_HK,IB_P1,IB_P2,IB_P3,IB_P4,IB_P5,IB_P6,IB_P7,IB_N1,IB_N2,IB_N3,IB_N4,IB_N5,IB_N6,IB_N7,IB_Neu1,IB_Neu2,IB_Neu3,IB_Neu4,IB_Neu5,IB_Neu6,IB_Neu7,ID_HKa_1,ID_HKa_2,ID_HKa_3,ID_HKa_check,ID_HKb_1,ID_HKb_2,ID_HKb_3,ID_HKb_4,ID_CUHKa_1,ID_CUHKa_2,ID_CUHKa_3,ID_CUHKb_1,ID_CUHKb_2,ID_CUHKb_3,ID_CUHKb_4,ID_CNa_1,ID_CNa_2,ID_CNa_3,ID_CNa_check,ID_CNb_1,ID_CNb_2,ID_CNb_3,ID_CNb_4,pre_PVT_RT,pre_PVT_miss,main_PVT_RT,main_PVT_miss,PVT_RT_change
604003,SC      ,sleep control,3,3.5714285714285716,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,5,3,4,1,3,3,4,3,6,5,5,6,5,6,5,5,1,3,6,4,2,4,2,281.625,0,342,0,60.375
604006,SC      ,sleep control,2.4285714285714284,5.142857142857143,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,6,5,5,1,5,5,5,5,5,5,6,5,6,5,5,2,2,2,6,2,2,5,2,318.375,0,364.6,0,46.22500000000002
604008,SC      ,sleep control,3.7142857142857144,2.857142857142857,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,4,2,3,1,3,3,3,2,5,4,5,5,5,4,5,4,3,4,6,4,4,3,4,278.4,0,307.25,0,28.850000000000023
604011,SC      ,sleep control,3.142857142857143,4.428571428571429,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,5,4,5,1,4,5,4,4,5,4,4,5,5,5,5,3,3,4,6,3,3,3,3,323.05,0,337.3,0,14.25
604013,SC      ,sleep control,4.285714285714286,5,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,4,4,6,4,5,4,5,293.95,0,404.975,0,111.02500000000003
604016,SC      ,sleep control,4.428571428571429,4.857142857142857,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,5,5,5,1,5,5,4,5,6,5,5,6,5,5,5,5,4,4,6,5,4,5,4,381.7,0,376.175,0,-5.524999999999977
604022,SC      ,sleep control,3.2857142857142856,4.714285714285714,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,6,4,6,1,5,4,4,4,5,5,4,5,5,5,5,4,2,4,6,4,3,3,3,312.975,0,320.6,0,7.625
604023,SC      ,sleep control,3.5714285714285716,4.571428571428571,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,6,4,4,1,5,4,5,4,6,5,4,6,5,6,5,6,4,2,6,3,3,3,4,333.65,0,365.625,0,31.975000000000023
604024,SC      ,sleep control,3.142857142857143,4.571428571428571,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,5,5,5,1,5,5,2,5,5,5,5,6,5,2,5,3,3,3,6,3,3,4,3,436.2307692307692,1,449.7,0,13.469230769230762
604027,SC      ,sleep control,3.142857142857143,4.571428571428571,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,5,4,6,1,4,5,4,4,6,4,6,5,5,5,5,3,3,3,6,4,3,3,3,383.2,0,394.27777777777777,4,11.077777777777783
604030,SC      ,sleep control,5,4.142857142857143,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,4,4,4,1,5,5,2,5,4,4,4,5,5,5,5,5,5,5,6,5,5,5,5,344.175,0,339.725,0,-4.449999999999989
604033,SC      ,sleep control,2.5714285714285716,4.285714285714286,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,5,5,5,1,3,5,2,5,4,5,4,1,4,2,4,3,2,3,6,2,2,3,3,318.325,0,325.325,0,7
604035,SC      ,sleep control,4.571428571428571,4.857142857142857,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,5,5,5,1,5,5,4,5,5,5,5,6,5,6,5,5,4,5,6,5,4,5,4,329.85,0,341.3,0,11.449999999999989
604036,SC      ,sleep control,5,3.857142857142857,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,4,4,3,1,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,377.7,0,379.97435897435895,1,2.274358974358961
604037,SC      ,sleep control,2.7142857142857144,4.714285714285714,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,6,5,4,1,5,5,4,4,6,4,2,4,4,3,4,4,2,1,6,4,2,4,2,297.975,0,330.75,0,32.77499999999998
604040,SC      ,sleep control,4.285714285714286,5,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,5,5,5,1,6,5,5,4,6,6,5,6,6,6,6,5,4,4,6,5,4,4,4,313.825,0,311.575,0,-2.25
604042,SC      ,sleep control,1,2.142857142857143,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,1,1,1,1,4,2,3,3,6,4,6,6,6,6,6,1,1,1,6,1,1,1,1,389.84615384615387,1,408.79487179487177,1,18.9487179487179
604047,SC      ,sleep control,3.4285714285714284,3.857142857142857,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,5,3,6,1,2,4,4,3,4,5,4,6,4,4,3,5,4,2,6,4,2,4,3,283.9,0,311.9,0,28
604048,SC      ,sleep control,4,4.428571428571429,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,6,4,4,1,5,4,4,4,5,5,5,4,4,4,5,4,4,4,6,4,4,4,4,361.7,0,366.275,0,4.574999999999989
604053,SC      ,sleep control,4,4.142857142857143,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,5,4,3,1,5,4,4,4,4,3,2,5,4,5,4,5,4,3,6,4,4,4,4,515.3225806451613,9,506.77777777777777,4,-8.544802867383567
604056,SC      ,sleep control,1.1428571428571428,5.428571428571429,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,6,5,6,1,5,5,6,5,5,4,4,5,4,4,5,2,1,1,6,1,1,1,1,296.775,0,289.7,0,-7.074999999999989
604059,SC      ,sleep control,4.285714285714286,5.142857142857143,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,6,4,5,1,6,5,5,5,6,6,6,6,6,6,6,5,4,5,6,4,4,4,4,327.925,0,315.4,0,-12.525000000000034
604061,SC      ,sleep control,4.428571428571429,5.714285714285714,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,6,6,6,1,5,6,5,6,5,5,4,6,5,4,5,5,4,5,6,4,4,4,5,386.2,0,301.8974358974359,1,-84.30256410256408
604063,SC      ,sleep control,3.7142857142857144,5,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,5,6,5,1,5,5,4,5,4,3,4,3,4,4,4,4,4,4,6,4,4,3,3,317.275,0,319.275,0,2
604067,SC      ,sleep control,3.7142857142857144,4.571428571428571,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,5,4,5,1,5,4,5,4,5,4,4,5,4,5,4,5,3,4,6,4,3,4,3,353.825,0,287.35,0,-66.47499999999997
604076,SC      ,sleep control,3.4285714285714284,4.714285714285714,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,5,3,4,1,6,5,5,5,5,6,4,6,6,5,6,5,1,3,6,5,3,3,4,320.075,0,309.05,0,-11.024999999999977
604078,SC      ,sleep control,3.4285714285714284,3.4285714285714284,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,4,3,3,1,4,3,4,3,5,5,5,4,4,4,4,4,3,3,6,4,3,4,3,340.25,0,308.325,0,-31.92500000000001
604079,SC      ,sleep control,2.7142857142857144,5.142857142857143,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,6,4,5,1,6,5,5,5,5,6,5,6,6,6,6,3,2,3,6,3,2,3,3,354.15,0,365.35,0,11.200000000000045
604081,SC      ,sleep control,3.5714285714285716,4.571428571428571,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,4,4,5,1,6,6,2,5,6,6,6,3,5,3,5,5,4,4,6,2,4,2,4,367.975,0,409.02564102564105,1,41.05064102564103
604087,SC      ,sleep control,2.857142857142857,4.714285714285714,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,5,4,5,1,5,5,4,5,6,5,6,6,6,5,6,3,2,1,6,5,3,3,3,306.425,0,303.425,0,-3
604090,SC      ,sleep control,3,3.857142857142857,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,4,3,3,1,5,4,4,4,5,5,5,5,5,5,5,3,2,2,6,4,3,4,3,396.725,0,465.6666666666667,1,68.94166666666666
604091,SC      ,sleep control,1.1428571428571428,5.428571428571429,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,6,6,6,1,5,5,5,5,6,5,5,5,5,5,5,2,1,1,6,1,1,1,1,355.075,0,383.075,0,28
604096,SC      ,sleep control,3,4,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,5,4,5,1,4,2,4,4,5,4,5,5,3,5,4,3,3,3,6,3,3,3,3,309.125,0,362,0,52.875
